Age,Gender,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Churn,PCA1,PCA2,Cluster
42,1,5,25674.40874345579,1,0,1,52079.57479483719,0,-28294.74221856956,-24026.060331891174,0
66,1,2,61124.937283372674,4,1,0,37856.1806004995,1,-42423.68898034161,11462.216267886215,0
44,1,1,32472.02282231425,1,0,0,119455.13947183132,1,39098.684146523476,-17407.876537314864,1
59,1,9,21693.318018241946,2,0,1,122169.19587397038,0,41784.02969506466,-28193.770061789,1
45,0,2,8492.033902321416,3,1,0,45832.14060344609,1,-34587.90709986773,-41191.73872685065,0
33,1,6,62071.08637359489,1,1,1,10578.2264793894,0,-69699.02716582811,12480.99715199259,0
32,0,1,88208.54788715683,1,0,1,69269.06912457991,0,-10938.794332414342,38462.08530738837,2
64,0,1,35139.288884451256,3,1,0,106199.26596868408,1,25849.960069830064,-14705.322484191784,1
68,1,9,55266.853619297726,1,0,0,97150.30516955374,0,16854.626608123654,5446.266268566957,2
61,1,4,64213.37952941158,3,1,0,72397.97075338008,0,-7873.797472837701,14458.670439824804,0
69,1,9,41465.0177795204,4,0,1,52271.82917124356,0,-28060.44150845654,-8236.01921254758,0
20,1,5,90334.7850366058,3,0,1,76414.2278929967,0,-3787.999253839138,40569.28894912275,2
54,1,7,36275.51612011766,3,1,0,12114.39333555716,0,-68231.55353976352,-13318.57212687609,0
68,1,1,12501.082008984366,4,1,1,20341.88672352532,0,-60067.39529737343,-37114.82994557989,0
24,1,6,14402.035805169957,1,1,0,32774.750722220684,1,-47629.513765319614,-35246.98883908598,0
38,0,8,89085.76145077127,1,0,1,97556.74998194666,0,17351.12209049554,39263.9719399034,2
26,1,1,98800.80428479596,4,0,0,40631.88955206577,1,-39547.66757828332,49130.558612801826,0
56,1,9,28893.785057171695,2,1,1,69273.0486656773,0,-11092.756752847825,-20852.4778419825,0
35,0,3,14360.272565471145,3,1,1,96997.51771681698,0,16592.914392702616,-35459.762916066946,1
21,1,1,48221.22817562094,1,0,0,126280.7530295964,1,45966.21003927085,-1676.9021078992519,1
42,1,1,70952.80635765979,1,1,1,86951.91286706878,0,6698.038554708881,21159.319459473416,2
31,0,6,61240.29081029721,3,1,0,34797.71058767872,0,-45481.84115414854,11585.713420832144,0
67,1,6,95110.81820826126,3,0,1,143243.533496499,0,63053.78716197978,45167.35356022744,2
26,1,1,81777.7883971628,3,1,0,22602.120936564483,1,-57622.700790552204,32155.61234936311,0
43,1,3,86897.2165064002,2,0,0,61396.70074182356,0,-18814.626539773402,37171.72094401321,0
19,1,7,54166.715884907026,4,0,0,138985.35169855013,0,58686.59517258174,4234.734996522995,2
37,1,3,32727.519333145006,2,1,1,94326.68493400638,0,13970.998991913992,-17085.469429568668,1
45,1,3,70173.60104605791,2,1,0,102771.31657147944,0,22515.311338534462,20337.993346497162,2
64,0,3,43905.30399513951,3,1,1,52236.970231148465,0,-28088.802406296076,-5795.648825966135,0
24,1,7,28775.424056232456,4,0,0,20995.397749026793,0,-59370.551832614954,-20842.285739019888,0
61,1,4,15227.068567229751,1,0,1,61206.5368535616,0,-19195.63137749148,-34497.666550068985,0
25,0,4,52787.42078895624,3,0,0,66302.02995437362,0,-14000.141622165771,3048.984353456435,0
64,0,3,59425.35671999187,4,1,1,47838.130618595205,0,-32446.299965748396,9736.06201173328,0
52,1,9,56878.568265417496,1,0,1,40167.95467558058,0,-40123.23030724082,7209.706565206136,0
31,0,2,11654.836343355402,2,0,1,59771.219040315715,1,-20640.45630368369,-38066.06416948259,0
34,1,4,56998.73195387432,4,0,0,99518.36274690104,0,19227.28724125703,7171.832859791139,2
53,1,8,16841.410680514102,2,1,0,142864.8645965607,1,62466.705465744264,-33100.768173119046,1
67,0,6,66371.4165451469,2,0,1,108529.30315102584,0,28263.15323336613,16520.490079614632,2
57,1,7,42938.39966655334,4,1,1,119144.43189238055,0,38815.84736853723,-6940.709455153672,1
21,1,7,84878.85877391555,1,1,1,52849.37573490703,0,-27367.29578765914,35176.13000222231,0
19,0,2,77826.57447937787,4,0,0,24656.94758192689,1,-55578.402668689916,28198.940894151085,0
23,0,4,72438.20515166337,1,0,0,50811.89636568011,0,-29437.89462467265,22740.945840015986,0
59,0,6,70073.70993343023,3,0,1,66371.5895875286,0,-13884.552523149687,20335.026985230776,0
21,0,3,56048.8039478102,3,1,0,106583.38850678236,0,26289.75844559523,6203.095627302282,2
46,1,9,6111.357612834434,3,1,0,141510.1993842594,1,61083.47327189885,-43827.17602571759,1
35,0,4,65548.9623533001,2,1,0,123300.95200991655,0,43032.559561037415,15658.705185730178,2
43,0,2,46692.21775637152,3,1,0,47296.03998261679,1,-33022.2943030894,-2995.5883390058225,0
61,0,6,46955.4713993533,2,0,0,124842.09539188196,0,44524.18725817501,-2938.82357912288,1
51,0,1,37902.21954662697,1,0,1,67644.5485356871,0,-12697.263667677486,-11839.738953395507,0
27,0,6,92907.09148417106,4,1,1,34561.434608772906,0,-45633.79464711017,43253.030981471,0
53,1,1,24945.12669524323,4,1,0,74575.48839976886,1,-5800.850230140117,-24815.24142492793,1
31,0,8,31659.445340977963,2,1,1,88850.87633537877,0,8492.365732730439,-18138.95876993472,1
48,1,5,96304.07827356226,2,1,0,116876.71531015424,0,36690.23974918583,46430.81838731378,2
65,0,6,81015.3735276698,2,1,1,58985.50883913288,0,-21241.4718355235,31296.31928191991,0
32,0,2,1408.6412162869988,1,1,0,30549.104945422423,1,-49889.75014112702,-48234.410964402225,0
25,0,2,90610.7599861874,1,1,0,23209.496620852344,1,-56991.80702072767,40986.93531672784,0
31,0,9,22664.72988330703,3,1,0,25742.437676118036,0,-54639.80012631192,-26965.598564765143,0
40,0,3,70593.25391660635,3,0,1,143003.2787548624,0,62748.24831107761,20650.515939536745,2
57,0,6,55307.31073672155,4,0,1,143245.175724897,0,62949.44142614487,5363.982829915942,2
38,0,5,53681.1883602784,3,1,1,145625.90235674806,0,65325.82952559284,3731.526875094576,2
33,0,4,71792.13233927192,1,0,0,52348.4415973957,1,-27903.07514221702,22090.78383668967,0
62,1,2,20718.14718944397,1,0,0,36826.01887670223,1,-43561.4413908875,-28941.687483487593,0
35,0,8,15902.513076642656,1,0,1,147328.02620827802,0,66927.35109478609,-34051.54685353338,1
64,1,7,65191.26067329519,1,1,1,148356.9726172856,0,68087.53899397953,15234.28614162661,2
41,0,2,29057.922890466227,4,1,0,20969.061873044153,1,-59396.1353030058,-20559.717783684082,0
43,1,6,97395.02076577608,4,1,0,115353.93405286626,0,35170.36880521204,47525.81184242432,2
42,0,8,45151.18390746734,1,0,0,50412.95458379592,0,-29909.494189809273,-4544.916377001762,0
62,0,7,11159.702000696523,2,1,1,137301.82421810404,0,56888.55572203749,-38767.64356922051,1
58,0,1,68581.51661720447,3,0,0,22491.502247592703,1,-57768.45768236523,18959.6818990923,0
46,1,5,30615.929246613126,4,1,0,134400.8830171348,0,54039.43234922165,-19303.76073261541,1
32,1,2,14858.74276214022,2,1,0,10366.97722859878,1,-70035.99167066453,-34730.616571983875,0
62,1,6,42282.3362889921,3,0,0,83076.90222264723,0,2746.6986379509763,-7500.7306764924215,1
18,1,7,96422.2278087278,2,1,1,56978.93865015865,0,-23207.010094946185,46708.46200437558,0
42,0,7,41143.057638713,1,0,0,69826.72551297472,0,-10506.464837535415,-8604.723002133796,0
24,0,3,34733.37657310635,3,1,1,70729.83997723617,0,-9620.421216594332,-15016.786133078123,0
26,0,7,44450.89620693041,2,1,0,101504.44227899614,0,21179.947589927804,-5381.246890816081,1
41,1,5,1211.5705599648363,4,1,1,13233.59726292802,0,-67205.72114974033,-48385.37356673005,0
18,0,8,13310.153859861406,4,0,1,106790.9751553401,0,26383.54079793187,-36535.955699309416,1
61,1,8,84967.46181346077,4,1,1,13107.738064274585,0,-67108.55644823905,35370.55588600075,0
25,1,7,97803.44120945135,3,0,1,35938.326445851875,0,-44243.8698076944,48145.69699091506,0
41,1,6,15794.148560368138,1,0,0,94943.83121788828,1,14543.053295018268,-34020.42349492375,1
28,1,2,53551.78183869084,1,0,1,22101.24103187452,0,-58198.73850528704,3931.0395891858716,0
68,1,6,96633.34338056436,3,1,1,148726.51228144733,0,68540.80065984374,46675.27337799618,2
34,0,9,15658.137617896384,3,1,0,119813.7723440765,1,39412.544051775156,-34222.657090152214,1
25,1,2,18630.961750245024,1,1,1,108793.2297531082,1,28399.956461806185,-31220.498235131814,1
52,1,1,92681.63539283985,4,1,1,47475.34087791409,0,-32720.53438198365,42993.18881557391,0
52,0,5,70568.76464523825,1,1,0,16799.084917373504,1,-63455.56326086185,20962.08052713614,0
50,1,6,15196.668684216074,1,0,1,147029.3394648011,0,66626.78597372664,-34756.59341057194,1
22,1,3,39349.26711186097,2,0,0,30698.75919440876,0,-49639.06899768766,-10294.318069303976,0
59,0,8,5626.994421471054,4,0,1,126279.42779830226,0,45851.46599229945,-44270.98133540163,1
56,0,7,43267.15339176942,3,0,1,37652.43789136249,0,-42674.982332498184,-6394.961790118607,0
58,0,2,77790.1494487037,1,0,1,62373.35137442297,0,-17862.229398828073,28062.085565292415,0
45,1,7,55397.20545861272,4,0,0,107102.54265626385,0,26807.175803864404,5550.117050882247,2
24,0,1,64744.21218162031,3,1,1,142351.08480735775,0,62080.48190042008,14803.231591709096,2
26,0,9,32682.013220020923,2,0,0,12769.529851233125,0,-67585.98817912946,-16913.806764115634,0
25,0,7,16139.5917744793,2,0,1,46507.542103379565,0,-33892.14433843493,-33546.00640656578,0
29,1,6,1311.667577348441,4,0,1,117095.19686092126,0,36655.776717053945,-48561.837304318586,1
51,0,2,82131.23443293454,1,0,1,34275.13688454694,0,-45948.7849608434,32477.974474046765,0
50,1,3,63665.455934578786,3,1,1,25603.716634225453,0,-54669.344746342525,14035.351509820895,0
65,1,1,22932.12412876884,4,0,0,16465.85960256388,1,-63915.63313945132,-26673.50380462749,0
40,0,5,41843.39600772948,2,1,0,80348.5993252548,0,17.236509361915523,-7932.404531669177,1
41,1,9,80144.32687281142,3,1,0,117482.7111919016,0,37253.2036152926,30269.51064540691,2
54,1,6,53870.01860913857,3,0,1,144642.83905697957,0,64343.272598791125,3922.9741305823336,2
52,0,5,30015.98764459783,1,0,0,47448.032892905176,1,-32914.70699257524,-19672.164055988793,0
61,1,3,26718.451717068547,2,1,0,26992.136222792044,0,-53379.31170649521,-22915.218779534418,0
57,0,5,21761.40244488256,2,0,1,66357.45824317684,0,-14027.32878586663,-27977.071597751317,0
39,1,8,82372.98801341698,2,0,0,17761.642202252082,0,-62461.57742084697,32763.698973821134,0
44,1,2,58186.03506846625,3,0,1,56390.351241452285,0,-23897.409794158462,8473.972091535492,0
52,0,5,70915.71657014643,2,1,1,100031.19866946244,0,19777.17927232744,21087.402564592056,2
18,0,6,86012.04413974134,4,0,0,33543.2433003049,0,-46670.34236966466,36360.71930111858,0
52,1,8,98686.17025302164,2,1,0,98462.7451409648,0,18282.67786190122,48861.93423920942,2
54,1,8,24948.35865307819,3,1,1,146072.86526235007,0,65696.28176799185,-25002.391135277045,1
64,0,5,18090.248745791298,2,1,1,130987.98873027858,0,50593.19713674442,-31820.309051271954,1
31,1,9,46199.83427939485,2,0,1,59956.879641618274,0,-20362.81069505013,-3521.6830754969196,0
20,1,4,3507.12794785325,3,1,1,69009.47968197873,0,-11423.924005883484,-46238.343116375516,1
18,1,9,79171.78815635284,2,0,0,68704.89803932987,0,-11527.026371931483,29426.859879363365,0
22,1,7,88375.99988343821,1,1,1,130386.12465364262,0,50178.49036270435,38466.79554883685,2
43,0,6,68603.96987480285,3,0,0,149135.79011204236,0,68875.44091799216,18644.909431766464,2
31,0,4,26799.502456360937,2,0,1,125625.3954533404,0,45253.81352861643,-23096.806812589373,1
56,0,2,12315.547398879056,1,1,0,88136.54493373008,1,7726.528471672398,-37480.88603409147,1
44,0,8,38214.418791988835,4,1,1,23631.245708483664,0,-56709.5791751939,-11410.343149335255,0
26,0,6,83333.56205052533,3,1,1,143627.78081233962,0,63406.672702849624,33389.11599892575,2
32,0,3,34782.78037861147,2,0,0,130406.41203052943,0,50056.07085917225,-15126.287979764391,1
32,1,7,3425.457362663997,3,0,1,127797.518823196,0,47363.68930421378,-46476.55292340111,1
43,0,7,27428.03762251319,1,0,0,64854.50520384914,0,-15515.187570722992,-22306.45447622724,0
59,1,6,98994.56100757232,3,1,1,72603.99300406936,0,-7575.161390350433,49239.18002079872,2
30,1,2,67666.87556658832,4,0,1,26752.648790509207,0,-53509.761862965395,18033.697609594536,0
68,1,8,90085.48299771278,2,0,1,141302.2177203714,0,61099.09691909484,40147.20545828403,2
49,0,1,77486.52675011074,4,0,0,142052.81085732995,1,61816.13908231842,27546.29521832789,2
56,1,1,53970.55153266307,1,1,1,45621.77750050213,0,-34677.170200320725,4287.177820226891,0
66,0,6,14868.88723949803,3,1,0,107441.0935362728,1,27037.8076593132,-34978.95897831602,1
69,1,5,34864.447835571766,2,0,1,38488.5632379231,0,-41861.23443035822,-14799.863976779816,0
49,1,9,58374.02252742222,2,1,0,65012.59125154499,0,-15274.699762075019,8638.999769445378,0
21,0,7,87063.2348731992,1,1,0,52333.39209186791,1,-27877.461092605394,37361.87230742322,0
47,1,2,26867.50458648997,1,1,1,64542.73967761768,0,-15828.444546868981,-22866.15536377265,0
54,1,7,12122.686934022951,3,1,1,53256.1791959752,0,-27154.227162412753,-37580.86713662917,0
40,1,3,55883.23175548174,2,1,1,58340.785592067994,0,-21953.11423216347,6165.98336868293,0
56,1,1,17650.122251805566,1,1,1,120748.43646658104,1,40352.50917859952,-32233.168327068932,1
62,0,8,61036.17693219067,2,1,0,52003.79982298528,0,-28276.356283982423,11335.784259765322,0
32,1,3,26352.1442483732,3,1,0,124057.365017904,0,43684.597441092,-23539.98811784014,1
60,1,8,23096.300430062467,4,1,1,89509.10501012599,0,9127.790454248912,-26703.82604576636,1
46,0,7,39918.07649888911,1,0,0,119262.26802146903,1,38925.64057713289,-9961.335684885162,1
53,1,2,59319.17575579458,3,0,1,138644.6910634859,0,58359.655763233124,9388.083696804591,2
30,1,1,54531.7672949313,4,1,1,29379.49307109889,0,-50917.90277506014,4891.641200561418,0
49,1,7,24473.447723498055,3,1,1,58144.63512908084,0,-22232.901246697118,-25243.167005834683,0
24,1,1,89111.66744533762,1,1,1,17778.049413198813,0,-62427.22672786492,39502.31082992188,0
68,0,6,10988.196973520104,3,1,1,66967.4048872631,0,-13446.070909751943,-38751.86303099581,1
39,1,8,3946.75630743353,2,0,0,43236.41030094641,1,-37195.73129564182,-45730.08835257244,0
45,0,7,60270.62694061975,1,1,1,90035.00615029865,0,9752.676645718137,10468.968318808416,2
19,1,4,12340.716806547647,2,0,0,119674.5794063322,1,39264.51798293021,-37539.695497489105,1
59,1,1,50489.08142789611,3,0,1,78091.23687980401,0,-2217.0963000474585,719.2610896619226,0
62,1,1,95177.32844096326,1,0,1,56707.15797135665,0,-23482.10449395216,45464.2907317392,0
23,0,4,69858.02714527902,2,0,1,31357.891221750306,0,-48898.701241291215,20212.578682145067,0
45,1,5,61745.65803977604,2,0,1,13756.22111551451,0,-66521.91028300452,12147.107674951541,0
45,1,7,57480.52248722807,2,0,0,104903.62157942745,0,24613.80993336493,7639.281932180078,2
61,0,4,17953.925219959277,4,1,0,14276.4111229687,1,-66118.32971623522,-31645.855048275414,0
61,0,1,43264.782462810435,2,1,1,138917.4058093034,0,58589.62029091026,-6666.978861283598,1
37,0,7,34252.35073667625,2,0,1,93192.20352077852,0,12840.581887737833,-15557.622559060103,1
47,0,2,95307.43222220626,3,1,1,59461.34433129835,0,-20727.581530784308,45587.060268225665,0
28,1,2,24232.0231370725,3,0,1,15867.902650087111,0,-64510.12680238961,-25372.017169821887,0
45,1,8,47151.63713960514,3,1,0,67888.11739065623,0,-12429.066558658262,-2591.0027198624302,0
42,1,5,93807.936327625,3,0,0,131421.9348591931,0,51228.76103247226,43895.95459914141,2
56,1,2,78918.0652439315,4,0,1,145775.26729942064,0,65542.39422968247,28967.91655965594,2
50,0,5,96451.5239284423,3,1,0,21889.973942358753,0,-58295.77224586543,46831.19214356176,0
18,1,8,60833.025514699104,3,0,0,118799.33504552496,0,38518.4009820334,10954.771877879917,2
44,1,6,33378.6854745934,3,1,1,46170.06611657711,0,-34183.71515697585,-16306.075203165296,0
69,1,3,82664.9775464059,2,0,0,63121.165897481056,0,-17101.43688988126,32934.90511408779,0
30,1,8,29145.627137337066,4,1,1,86674.15846874651,0,6308.961838478863,-20646.971943977474,1
58,0,9,16477.28019118859,3,1,0,149262.0276920814,1,68862.87630660385,-33481.931598609866,1
20,1,5,70628.88140390074,2,1,0,39234.08567230033,0,-41020.4821144493,20962.45764915055,0
56,1,2,63895.56635343594,1,1,1,28269.773658199996,0,-52002.684413272495,14258.361992372731,0
23,1,2,87894.89025953953,4,1,0,93296.77810713096,1,13087.99422396376,38084.44833451209,2
25,0,7,96192.47578160508,3,0,0,129426.85968613678,0,49240.04235213893,46285.79804609721,2
44,0,1,85719.7587224554,2,0,0,100750.21170301716,1,20535.609601222328,35889.47766327189,2
26,1,2,6002.179758827076,1,1,0,58660.69617856393,1,-21766.02702328567,-43715.74363793445,0
54,1,4,66451.34329822681,1,0,0,146777.5595054242,0,66511.4867560939,16498.56992846293,2
50,1,1,78473.24128640458,2,0,1,149304.4918497231,0,69070.42177236466,28513.696637628025,2
68,0,4,98192.87243501763,2,1,1,117890.87438875866,0,37709.42476629329,48316.9053677408,2
59,1,5,37466.12995126337,4,1,0,122338.28184873212,0,41995.114571119135,-12421.464284810587,1
61,1,9,16988.158727114787,2,0,1,116517.83275236294,0,36120.15782249096,-32883.86434612062,1
41,1,1,85293.30617972212,3,1,0,46072.53412076223,1,-34143.00969973853,35608.621160794624,0
32,0,5,31746.674363255537,1,1,0,31036.979438353563,1,-49321.093925322064,-17897.784473390187,0
49,1,2,59820.189579385886,3,1,1,87609.49066616395,0,7325.970366200156,10024.991163803788,2
49,1,9,38989.47642129999,3,0,0,143580.46766911904,0,63241.28136951463,-10954.686442416794,1
41,0,6,40232.62567586612,3,1,1,132960.92049113387,0,52625.08203423624,-9683.264094541635,1
58,0,2,73246.44791774516,1,0,0,24960.362968698784,1,-55287.18403725427,23618.022632371685,0
69,1,3,36147.51253399387,1,1,0,17978.763312825682,0,-62367.545127426405,-13462.190779758173,0
66,0,8,69307.5112970487,1,0,1,132327.91028825354,0,52069.49416317082,19393.20401013783,2
66,1,1,1432.8455452302103,2,1,0,95822.11010939136,1,15383.088226317865,-48384.014263846926,1
69,0,3,32464.7390003876,3,1,1,52604.94575240034,0,-27751.29185329441,-17237.15309994336,0
29,0,1,31904.403135366265,4,1,1,88647.54084714822,0,8289.683226605324,-17893.460405596335,1
56,1,8,74883.5285896717,2,0,0,41033.60282433248,0,-39209.64199264187,25212.298028502737,0
19,1,1,31455.711602562787,2,0,0,142573.25319106213,1,62214.00957923943,-18485.742557302823,1
20,1,5,63332.713236508294,4,0,1,125807.677785108,0,45533.37500016412,13435.789075570305,2
66,0,4,68852.44021078649,3,0,0,144713.32235169405,0,64453.65056559541,18905.154932431724,2
54,1,7,65842.55441971152,4,1,0,36188.005333936584,0,-44079.296422180414,16184.258662774773,0
66,1,5,60329.36810486645,1,1,1,128113.8596784413,0,47831.55168957505,10426.31372893096,2
34,1,8,41361.68493493947,3,0,0,88439.9870752548,0,8107.312855600932,-8435.659465772842,1
66,1,1,37330.49776838104,2,0,0,55498.879296628664,1,-24844.41214604675,-12379.117484874092,0
19,1,5,56458.405837588965,1,0,1,77152.86970497995,0,-3139.565349647295,6691.063008921206,0
19,0,4,6370.310248432631,1,0,0,142213.75656922522,1,61787.71737105127,-43570.097719064324,1
45,1,3,87581.9842051526,2,0,0,106803.4042269649,0,26593.739362857552,37735.57823456301,2
40,1,5,82531.51430303432,4,0,0,60388.17737513888,0,-19834.771241753588,32808.71969329686,0
54,0,3,34638.47170371896,1,1,0,149985.95580232076,0,69635.16105762085,-15322.732130898396,1
49,1,8,56681.912338563125,1,0,0,58404.0088463943,0,-21887.76445222411,6964.492768562552,0
50,1,3,93222.76981844632,3,0,0,123920.76967489372,0,43726.06431066312,43330.76410180693,2
18,1,1,27163.679741209668,3,0,1,119812.82901803894,0,39442.23736368376,-22717.153240546522,1
36,1,9,74245.52676948534,2,1,0,111209.729330176,0,30964.53677270084,24387.435014652154,2
19,1,9,8273.180732100516,2,0,0,103721.081020216,1,23300.245207637752,-41564.7365239926,1
61,0,6,52337.2147470971,2,1,0,25213.154961031218,0,-55090.06957845364,2708.1904595196393,0
43,0,1,88396.91294472976,4,1,1,149293.83212771456,0,69086.1865922206,38437.361501104584,2
49,0,8,55170.92841490735,1,0,0,32545.994314327323,0,-47749.71072718888,5522.368359145708,0
23,1,2,61625.28268371014,2,1,1,93458.7625022766,0,13180.027906274845,11814.50256071041,2
49,0,9,90763.9293309544,3,0,1,44880.692799391814,0,-35320.27970386892,41082.39852547975,0
21,1,8,71536.06400498028,1,1,1,33628.852530060765,0,-46623.27975498494,21884.562526327783,0
28,1,3,69586.96802242656,2,0,1,88325.15200333338,0,8067.635832587854,19789.829338934804,2
34,1,5,58638.402209289845,1,0,1,127088.1831170427,0,46801.37594807282,8738.084984828078,2
55,0,9,63298.86141924184,1,1,0,62772.391904710144,1,-17501.77738546577,13569.786354175667,0
41,0,1,80370.54240166173,1,0,0,20803.645108446188,1,-59424.917356738435,30753.16028146087,0
22,0,9,97923.30832972444,2,0,0,97326.24780718389,0,17144.153085036058,48102.101267903236,2
69,1,4,79532.5354008188,1,1,0,117300.2355492753,1,37069.09968623941,29658.207227542232,2
51,0,4,70753.68316269963,1,1,1,51451.830966250134,0,-28802.447670435,21054.72581271058,0
23,1,4,13554.488361151483,1,0,1,106682.5545168487,0,26275.77117607204,-36291.33336636943,1
39,0,9,81708.03874416932,3,1,1,20610.64514202039,0,-59614.35519381993,32091.165799391347,0
28,0,6,73599.4367398703,2,0,1,60599.974371544726,0,-19646.759194119986,23876.109830077847,0
65,1,8,77043.21954012339,4,1,1,76378.3948397704,0,-3859.224461470454,27277.86597931195,2
33,1,4,23109.64782433119,3,1,1,119474.91099599744,0,39093.525620838016,-26770.270987969452,1
50,0,3,90344.36965409278,1,1,0,57339.83928219963,1,-22862.294580491092,40629.66439107144,0
26,0,1,9728.136834686218,1,0,0,73517.97093552853,1,-6898.8835406551225,-40029.36139823628,1
23,0,7,25361.205569194655,4,0,0,97969.5625018367,0,17594.2487193275,-24461.45724936914,1
33,1,4,66302.34383244016,4,0,0,97371.19467864912,0,17104.900235384543,16481.1291877353,2
46,1,8,67371.44638310152,3,0,1,82486.42847647643,0,2223.0336455306533,17589.862776087575,2
20,0,3,31332.456630082484,1,0,1,55986.45936506513,0,-24372.80547473068,-18378.435666156332,0
37,0,1,70151.97771118148,4,1,1,103789.45045338114,0,23533.38399670909,20313.659026321904,2
53,1,5,38793.05376548721,3,0,0,127201.60831418744,0,46861.95707087011,-11107.495133176148,1
36,0,2,17.551585792330293,4,1,0,31533.972600857796,1,-48908.59012100638,-49628.118147258145,0
43,1,3,16260.613228738352,1,1,0,57664.64959872682,1,-22734.75405976527,-33454.694288924955,0
20,1,6,88261.82752181744,1,1,0,103624.776279411,1,23416.932838082386,38423.88312727564,2
36,1,3,22269.40117294188,1,0,0,115808.56886420754,0,35424.9591103578,-27600.752005830254,1
37,1,3,11291.033885887591,1,1,0,119404.35045473649,1,38991.49500039991,-38588.65514170537,1
49,1,6,68220.06059331946,2,0,1,101458.08272822657,0,21196.88032448414,18387.9566694592,2
24,1,5,44070.64424097361,2,0,0,76957.8295697124,0,-3367.5906316490873,-5696.135322947972,0
69,0,9,79659.09363976444,2,0,0,100411.94461984313,0,20181.205625113333,29829.734791475952,2
58,1,1,86144.49345657881,3,0,0,28906.233940184797,1,-51306.98241953664,36505.51546635353,0
50,1,3,84598.88773872315,3,1,1,39086.57055162747,0,-41130.797542656386,34932.80725128939,0
57,0,3,31300.92191968933,4,0,0,139854.34569010066,0,59494.69972428803,-18633.29185154706,1
56,1,6,50554.593796816414,4,1,0,139103.9375990259,0,58795.56254553747,622.3099375761594,2
35,0,8,65014.17346469641,3,1,1,111343.73549206815,0,31073.96140930339,15155.757609026783,2
57,1,3,32198.30872841239,4,0,0,55786.60926401758,0,-24570.349121914427,-17512.05448861294,0
18,0,3,4109.931535301814,3,1,0,100837.60062226276,1,20405.6892199251,-45720.29289211283,1
28,0,6,49566.438229691914,2,1,1,106290.82530668892,0,25979.93521253069,-278.4680803370429,1
45,1,8,1281.833346559369,3,1,1,82116.09116299813,0,1676.7156592219253,-48498.52983347023,1
42,1,6,95064.56247259471,3,0,0,114793.61576454004,0,34603.84700516354,45196.853814689406,2
67,1,3,79668.36460730265,4,1,1,14156.729978587928,0,-66073.67854399796,30068.68423203643,0
